Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
United States,Mexico,Export,Food Products,Export (US$ Thousand),584129.805,778924.738,825791.508,1044303.392,622027.408,777409.14,825727.772,991426.56,1129385.925,1396562.295,1784549.117,1449584.633,1698928.115,1942579.637,2314049.052,2737547.439,2849578.89,3288948.274,3166091.756,3671883.937,4463727.324,4812428.885,4956136.03,5182605.569,5100508.968,5081984.431,5135514.066,5237039.504,5206646.468,5090065.359,6310442.212
United States,Mexico,Export, Intermediate goods,Export (US$ Thousand),6958934.503,8326934.565,8572137.41,10162580.93,10106686.15,11732307.47,14118266.74,15647943.68,16631134.73,19898993.66,18232872.35,18048511.75,19090433.18,23022881.49,26295197.82,29925468.58,31230480.65,34705027.75,28523652.88,35285177.58,42363407.66,46498481.52,47490213.41,49849268.66,46846792.11,44408565.31,48301629.97,52395826.38,48512760.92,41835166.96,58208408.69
United States,Mexico,Export,Miscellaneous,Export (US$ Thousand),4003077.807,4518142.52,4780119.184,5509212.666,4360782.952,4886675.454,6591321.764,7474852.41,7840837.084,4900279.294,4939290.708,5118009.803,5119143.639,5471291.921,5376183.466,5818532.188,11648139.59,12500769.29,12297140.92,13385236.45,15132519.82,17422489.68,19020857.17,20289447.2,20751992.02,17528057.91,17715632.98,18916220.53,18555464.3,16121101.57,18939105.9
United States,Mexico,Export,Hides and Skins,Export (US$ Thousand),218394,248757.185,247255.308,246139.736,230881.611,321925.172,393590.216,451256.577,465847.567,555449.925,437674.402,475908.2,431088.737,782706.149,803216.784,690647.304,570307.947,499284.301,315207.398,425542.101,456254.764,504463.973,606896.748,602411.205,650846.419,684104.718,581167.57,626605.196,571385.976,420909.827,550587.927
United States,Mexico,Export,Stone and Glass,Export (US$ Thousand),361556.432,507696.84,493559.012,639192.248,435413.66,512446.432,703661.552,906714.904,1146878.6,1455205.334,1265977.427,1343060.72,1247349.892,1379101.714,1255870.37,1478968.298,1616602.018,1500355.639,1507759.428,1832497.858,2217738.898,2270146.438,1999279.872,2117397.865,2174191.985,2121008.375,2153565.62,2417234.914,2173574.065,1708029.858,2311097.889
United States,Mexico,Export,Minerals,Export (US$ Thousand),144818.8,115187.708,75691.997,97230.204,125657.088,120494.992,140164.944,197951.696,172723.404,182862.91,233575.348,233376.884,191720.463,184393.612,226107.816,503741.048,381066.044,955493.569,384490.714,499737.763,1323507.385,1550017.987,2160446.525,2809670.391,2937516.96,2038301.795,1424053.523,1558879.227,2116135.73,1699968.097,2180262.531
United States,Mexico,Export,Animal,Export (US$ Thousand),851240.184,965846.328,869531.168,1035028.144,559435.072,755954.272,1150494.176,1237908.204,1225430.872,1500395.124,1812047.479,1741905.784,1862947.572,1928298.818,2400257.908,2665474.512,3017254.804,3626333.513,2894258.846,3313630.617,4046667.359,4227179.436,4866261.872,5753759.031,4753755.91,4646745.548,4843339.241,4793880.621,5082712.343,4534555.038,6016286.881
United States,Mexico,Export,Transportation,Export (US$ Thousand),4523362.396,5411864.192,5238967.776,6299369.394,4703418.288,5699996.89,8022063.778,8824796.9,9052773.856,12097297.16,11928960.3,11349795.46,10515060.84,11197756.18,11854165.38,14536736.48,15017854.92,15524875.23,10567823.6,15056900.69,18870515.68,21541569.22,22752300.58,23010841.76,25403280.66,25832422.03,25924693.62,26991946.52,26831827.08,19574290.33,24155424.95
United States,Mexico,Export,Metals,Export (US$ Thousand),2520796.646,2966565.131,2799651.444,3499083.945,3501129.844,4465404.999,4799917.257,5248046.142,5618899.546,7284213.083,6073501.487,5857268.788,5811953.519,7350483.664,8795266.643,10842845.29,11183200.53,12447187.52,9249784.51,12242953.96,14735366.04,16618465,17504758.64,18875265.61,18430225.1,17559894.29,19122775.52,20641688.42,18944048.38,15693301.3,22128007.51
United States,Mexico,Export,Plastic or Rubber,Export (US$ Thousand),1851742.368,2373199.36,2551750.688,3382891.872,3366209.216,4303446.016,5393174.656,6176823.296,6824078.208,8488339.986,7872702.264,7839789.212,8231378.756,9434801.123,10901513.26,12081219.51,12234324.01,12502205.26,11040940.89,13574511.91,15313825.41,17013218.94,18462381.73,20045009.42,20029063.41,19407962.34,20092266.88,21579948.66,20005006.97,17504208.71,22728307.54
United States,Mexico,Export,Mach and Elec,Export (US$ Thousand),11186785.28,13715623.94,14513197.57,17896322.05,17245713.41,20951503.87,27741153.28,29984233.47,34716497.92,45114470.91,39337875.21,36752830.3,36911527.72,41806299.52,43475220.75,47834337.4,45483507.74,47475366.59,44379697.84,56321119.26,63737975.88,69841803.23,75147321.04,81379374.69,83101893.34,82407219.45,83561609.99,89013770.06,85775092.65,72214307.03,82288247.48
United States,Mexico,Export, Capital goods,Export (US$ Thousand),14606422.5,17953658.57,18561810.73,22430679.84,20140143.04,23697250.2,32448793.04,35235992.11,39226721.98,51970635.26,46436584.94,44033250.86,44360056.85,49637538.12,51164337.47,57313911.8,55356188.43,58197526.02,52686340.42,66413495.63,76906778.52,85356468.86,92456507.53,98525047.9,102844716.8,100029336.8,101111908.7,107441220.1,104233884.5,86436885.94,97523316.29
United States,Mexico,Export, Raw materials,Export (US$ Thousand),2496514.591,3009949.706,2669580.427,3500484.863,2962755.688,4627042.459,4454005.399,5066557.326,4548744.222,5347204.621,5698844.142,5861754.671,6088593.129,6441509.541,6737755.901,7936763.974,8996529.266,12913579.51,9388850.57,10860305.56,14660435.14,14876429.51,14498428.14,16312673.28,14948417.53,14305858.99,14431549.52,15323836.47,15304401.16,14095836.65,20868638.01
United States,Mexico,Export,Wood,Export (US$ Thousand),1623849.754,2016491.98,2089238.95,2460510.001,2362671.928,2295309.423,2551471.159,2864216,3144348.482,3764453.241,3469892.403,3254253.574,3387784.213,3657185.886,4059120.066,4461881.718,4530922.387,5035720.795,4382730.62,5197405.2,5355485.486,5529821.421,5736148.976,5828537.536,5859528.86,5753289.862,6057062.084,6312090.511,5968510.539,5325077.617,6943156.07
United States,Mexico,Export, Consumer goods,Export (US$ Thousand),6886835.085,8744711.204,9387874.053,11981955.74,10445411.91,13456703.75,16038708.42,18299234.43,21025941.51,29325415.27,26729411.53,25571775.02,24049921.69,26500025.81,30645855.38,34059410.52,35775600.84,40579805.58,33003559.4,44446573.74,56625618.33,60099392.67,61506030.31,65343578.66,60846629.75,62046911,69075450.72,78959283.17,76795946.08,61423076.63,87480687.04
United States,Mexico,Export,Chemicals,Export (US$ Thousand),1787805.618,2086143.793,2308711.485,2895377.679,2766319.319,3241472.787,3967164.673,4231452.258,4526186.768,5397113.909,5222330.018,5359497.926,5902555.385,7422338.404,8260204.682,9611619.649,10142490.17,11790088.35,10762876.75,12103506.17,14267018.48,15927586.08,15849965.59,16304862.06,14657606.32,13979945.74,15975338.92,17897186.92,16641516.83,15147507.68,21117455.27
United States,Mexico,Export,Textiles and Clothing,Export (US$ Thousand),1128157.184,1556990.786,1881416.261,2355789.747,2538271.959,3248706.637,4170333.068,5281243.61,5793923.863,6786123.553,5856583.303,5455220.251,5283476.027,5399687.875,5303983.111,5133234.787,4484932.762,4311533.705,3671778.291,4514901.096,5201466.631,5007808.143,5407941.942,5761962.44,5895867.716,5393294.396,5541881.448,5776989.027,5288099.707,4538004.174,5788320.669
United States,Mexico,Export,  All Products,Export (US$ Thousand),33223827.46,40508993.54,41602723.84,50834157.57,46309285.89,56758562.82,71354753.02,78996881.41,87041712.13,111338634.5,101295130.4,97470194.75,97411740.04,110731247.3,120246881.7,134127534.8,136520317.3,151524799.1,128997663.3,163664583.2,198288689.2,215875039.2,226070226.7,240247090,235745087.3,230228819.7,243507465.4,265434782.5,256371086.5,212671750.9,276458852.1
United States,Mexico,Export,Fuels,Export (US$ Thousand),907740.8,1239287.808,1046324.864,1014719.616,1277824.64,1525109.504,2008667.264,1776811.904,2272926.976,4311254.31,3316926.02,3268375.795,2876656.848,3335221.697,5409872.031,5730982.067,6795526.464,11119400.39,7716105.262,14257996.76,23630158.7,23658186.16,23107901.1,23666597.85,18036955.96,19589049.87,26657855.82,34507805.13,34109036.49,24251341.56,41980736.59
United States,Mexico,Export,Vegetable,Export (US$ Thousand),1445984.456,1895170.817,1752154.631,2332472.126,2129178.272,3563183.557,2771446.606,3229469.02,2978502.223,3153445.42,3418311.606,3926038.817,4046408.542,4255624.423,4375299.639,5082227.564,6469668.785,8804625.027,6556968.704,7124583.025,9387864.379,9809228.74,8327404.07,8451393.393,7771249.845,8060167.888,8578275.677,9006683.552,8943815.612,8723772.119,12854727.64
United States,Mexico,Export,Footwear,Export (US$ Thousand),84386.754,113099.667,129360.863,126515.134,84352.2,89523,124398.432,119678.262,132468.615,186011.012,155178.057,127299.312,109347.906,82720.234,72444.515,84242.227,94940.208,142611.629,104007.81,142176.411,148597.001,140625.83,164224.841,167953.929,190603.819,145370.998,142432.402,156813.744,158213.358,125310.649,166684.992
